NAMESPACE     NAME                                      READY   STATUS    RESTARTS   AGE
default       ezuhbjsej-5bdc698d77-5nz46                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-889l5                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-8rmhx                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-f6bnw                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-f8524                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-jnvcw                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-kgcdr                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-qpjdz                1/1     Running   0          39m
default       faaokrowb-6d7c4f6cf6-knz6d                1/1     Running   0          13m
default       faaokrowb-6d7c4f6cf6-pxpzc                1/1     Running   0          13m
default       fetonqsgu-7f5798665d-ttdsr                1/1     Running   0          13m
default       fetonqsgu-7f5798665d-vc5qh                1/1     Running   0          13m
default       fpqrbrobt-75bb9947b4-7v4dw                1/1     Running   0          13m
default       fpqrbrobt-75bb9947b4-hkbhw                1/1     Running   0          13m
default       fwjlroszr-6ffb5dd69d-d6tnv                1/1     Running   0          13m
default       fwjlroszr-6ffb5dd69d-tqgxn                1/1     Running   0          13m
default       gbrppduya-57d4d9f779-62ttf                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-dfqv4                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-fclqw                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-fjx97                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-q2dc9                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-qhbxp                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-r2zrd                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-zn7h2                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-b4trm                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-cdmwd                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-gnlvp                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-jk79d                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-l4mfm                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-q2wvz                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-q7r2h                1/1     Running   0          39m
default       gbxtpvtmj-8557ccb5b7-vzlph                1/1     Running   0          39m
default       gckmrnevz-5d948d7d65-blfth                1/1     Running   0          13m
default       gckmrnevz-5d948d7d65-jvxdz                1/1     Running   0          13m
default       ggmyiezvr-2z497                           1/1     Running   0          43m
default       ggmyiezvr-9wv68                           1/1     Running   0          43m
default       ggmyiezvr-db7nt                           1/1     Running   0          43m
default       ggmyiezvr-dc7vg                           1/1     Running   0          43m
default       ggmyiezvr-frnn4                           1/1     Running   0          43m
default       ggmyiezvr-kccq7                           1/1     Running   0          43m
default       ggmyiezvr-kntcp                           1/1     Running   0          43m
default       ggmyiezvr-ln8p2                           1/1     Running   0          43m
default       ggmyiezvr-nhb6k                           1/1     Running   0          43m
default       ggmyiezvr-xw8c2                           1/1     Running   0          43m
default       ghcqcptpj-5c9777d55d-4j96n                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-9bfwm                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-c6m87                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-cn4nn                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-kvmnb                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-mblzq                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-nw62f                1/1     Running   0          39m
default       ghcqcptpj-5c9777d55d-r6bqf                1/1     Running   0          39m
default       ghgtssbdp-6dc78679dd-9kjmr                1/1     Running   0          13m
default       ghgtssbdp-6dc78679dd-z5wcl                1/1     Running   0          13m
default       ghxwmjabh-7848f9bc8-55tjk                 1/1     Running   0          13m
default       ghxwmjabh-7848f9bc8-kc2b2                 1/1     Running   0          13m
default       gijhchcmv-6f8bd769d9-c48wz                1/1     Running   0          13m
default       gijhchcmv-6f8bd769d9-v42w9                1/1     Running   0          13m
default       gmpoywkhy-dfddd84db-52j8g                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-67rpq                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-74m5f                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-7pjsg                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-8xk8n                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-fgkgh                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-ghznw                 1/1     Running   0          21m
default       gmpoywkhy-dfddd84db-j8gzz                 1/1     Running   0          21m
default       gmshtwbcp-5b9cc4fbb-5dxdk                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-7qgtd                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-d6xgf                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-dvdgm                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-fwf2g                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-h8dhc                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-rbfwq                 1/1     Running   0          39m
default       gmshtwbcp-5b9cc4fbb-tk8pf                 1/1     Running   0          39m
default       gqbrazrln                                 1/1     Running   0          59m
default       gqigxadqm-7c47b674b4-7vlq5                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-dmdth                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-g8sbj                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-ls298                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-p2qsl                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-vqwtr                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-x7lz5                1/1     Running   0          39m
default       gqigxadqm-7c47b674b4-zvdf5                1/1     Running   0          39m
default       gtxkfzmzv-6c4d768fc4-85q92                1/1     Running   0          13m
default       gtxkfzmzv-6c4d768fc4-bjnjg                1/1     Running   0          13m
default       gzvucg-5549db6d88-8jfbr                   1/1     Running   0          8h
default       gzvucg-5549db6d88-jtf4t                   1/1     Running   0          8h
default       gzvwwazii                                 1/1     Running   0          59m
default       hishidoer-565886f654-gr7hv                1/1     Running   0          13m
default       hishidoer-565886f654-x72gb                1/1     Running   0          13m
default       hvkkdhqrx-f984c77d9-dzzt7                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-j9rjt                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-k2qhx                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-kq2zq                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-l9d5q                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-thd74                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-xchmn                 1/1     Running   0          39m
default       hvkkdhqrx-f984c77d9-zxpms                 1/1     Running   0          39m
default       hwdsyqwhe-5544d959b9-nkdtv                1/1     Running   0          13m
default       hwdsyqwhe-5544d959b9-w442x                1/1     Running   0          13m
default       iblndsllq-c86bd795c-2qsck                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-5kjmt                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-6v8mv                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-8lwdd                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-8z8rx                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-dsnk6                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-hb2b5                 1/1     Running   0          39m
default       iblndsllq-c86bd795c-tl7vt                 1/1     Running   0          39m
default       imeklrxwp-8646cb6586-cxgt7                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-f7ckb                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-hlngf                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-mjlkx                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-v4dpl                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-vqmjx                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-w7wcq                1/1     Running   0          39m
default       imeklrxwp-8646cb6586-wwc26                1/1     Running   0          39m
default       immckvbth-59bdcd66d7-b9tjr                1/1     Running   0          13m
default       immckvbth-59bdcd66d7-hnx6f                1/1     Running   0          13m
default       inbmmibav-6f5f7f58f4-4xrvq                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-5fqjg                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-72sb6                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-l6d6l                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-m2r4v                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-ndcv7                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-rpstz                1/1     Running   0          39m
default       inbmmibav-6f5f7f58f4-s5fng                1/1     Running   0          39m
default       ishgayqxe-5c48f74855-bcvfj                1/1     Running   6          8h
default       ishgayqxe-5c48f74855-v682c                1/1     Running   6          8h
default       isvenlwap-679bfb65bd-56pqh                1/1     Running   0          13m
default       isvenlwap-679bfb65bd-pmwkl                1/1     Running   0          13m
default       iteufwnpq                                 1/1     Running   0          59m
default       jjgaqubln-7c9bd5cbd4-4xlvj                1/1     Running   0          13m
default       jjgaqubln-7c9bd5cbd4-w8nxc                1/1     Running   0          13m
default       jovzdl-66847695c-2h6cz                    1/1     Running   0          8h
default       jovzdl-66847695c-hw9vl                    1/1     Running   0          8h
default       jquyavnzo-5d495bfb8b-4v8g8                1/1     Running   0          13m
default       jquyavnzo-5d495bfb8b-sskd2                1/1     Running   0          13m
default       jtwurjggv-6dcdd5597c-8pbnw                1/1     Running   0          13m
default       jtwurjggv-6dcdd5597c-jhdf8                1/1     Running   0          13m
default       jvmlujfwy-765bbcd99c-2n6mh                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-8fjv4                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-c5j9d                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-glqfx                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-hj5n6                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-m24gm                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-ngfrr                1/1     Running   0          39m
default       jvmlujfwy-765bbcd99c-wbsxv                1/1     Running   0          39m
default       jxtvfkfsw-5db67fd475-r8c2r                1/1     Running   0          8h
default       jxtvfkfsw-5db67fd475-w5xqq                1/1     Running   0          8h
default       kacxmhrhp-55c69bf97d-rq97k                1/1     Running   0          13m
default       kacxmhrhp-55c69bf97d-tz92d                1/1     Running   0          13m
default       kizdvrxcv-86dd69c647-9bj2f                1/1     Running   0          13m
default       kizdvrxcv-86dd69c647-pqfm8                1/1     Running   0          13m
default       kphkiwkja-9d49bc54d-n95nb                 1/1     Running   0          13m
default       kphkiwkja-9d49bc54d-nmrq7                 1/1     Running   0          13m
default       kurshm-5644d86878-55bjv                   1/1     Running   0          8h
default       kurshm-5644d86878-6d94d                   1/1     Running   0          8h
default       kyisobvxo-54c8944965-q6rlc                1/1     Running   0          14m
default       kyisobvxo-54c8944965-tvjlf                1/1     Running   0          14m
default       kzjlnxlou-5787969bc6-9bh95                1/1     Running   0          14m
default       kzjlnxlou-5787969bc6-cz46f                1/1     Running   0          14m
default       lczuzbhwx-6bdbd467dd-8pm9t                1/1     Running   0          8h
default       lczuzbhwx-6bdbd467dd-tbblp                1/1     Running   0          8h
default       leubrloou-b5c9bf865-rfkdf                 1/1     Running   0          13m
default       leubrloou-b5c9bf865-sll2d                 1/1     Running   0          13m
default       lkfroxves-7bf6cc7ff9-2wwmp                1/1     Running   0          14m
default       lkfroxves-7bf6cc7ff9-488vz                1/1     Running   0          14m
default       loeaxsylz-7b6b9d599d-wkhsd                1/1     Running   0          13m
